order_id,order_date,customer_id,product_id,quantity,order_price,total_amount,product_name,category,subcategory,product_price,customer_name,city,state,country,age,gender,payment_method,shipping_address
4f61e2cc-194e-4c8f-a264-506579418a70,2023-05-13 00:38:25,2313a4f4-305d-44bf-b674-0605ebdec08e,86a9a9a3-2486-4a5b-9dcf-f2ff97c2fcd7,2,374.92,749.84,Draw,Clothing,Women,374.92,Charlene Johnston,Lake Michelechester,Maine,Madagascar,27,Male,PayPal,"269 Gray Turnpike Suite 383, Hernandezborough, NJ 86939"
884aaa91-ba8a-4c8d-9400-fcaaf441264f,2022-03-25 16:32:27,a15c08bf-d01b-452d-9d96-2150b9b3b519,1a793d59-95da-411f-8e9d-7165e853e296,4,353.13,1412.52,Yes,Sports,Fitness,353.13,Logan Lewis,Levineton,Hawaii,Kuwait,31,Female,PayPal,"28484 May Branch, South Sarah, CT 42542"
a66dde20-b2f1-497c-8833-2da29c35a7a5,2022-05-04 16:23:34,fe91bf2c-54d3-4d78-b6c4-36a75fff1a22,d360da83-e402-4fe7-87d2-60cd70b097a8,2,134.09,268.18,Public,Books,Fiction,134.09,Calvin Munoz,Sanchezstad,Texas,Christmas Island,33,Male,Net Banking,"8868 Daniel Gardens, Elliottbury, ID 61614"
f9e8539a-932f-4b5f-a3b9-03a1478330b7,2021-03-25 06:46:21,0e94fc48-444a-4f61-8212-5ec9a19bd19f,2ddec116-0185-4948-b27b-8bf01f87ff68,5,416.4,2082.0,Occur,Home & Kitchen,Decor,416.4,Brandon Baker,Alberthaven,New Hampshire,Anguilla,47,Female,Debit Card,"611 Frye Motorway, Port Stephanieville, GU 34646"
819f88e9-892c-4952-bfc9-c763e2d755ea,2023-01-23 19:31:48,37d17be7-adee-4b20-9126-2af793a8afac,7fdb85c3-2249-45b5-b1fb-08ae8d368c38,1,148.39,148.39,Good,Toys,Puzzles,148.39,Douglas Anderson,Lopezside,Nebraska,San Marino,60,Other,PayPal,"4559 Smith Road Apt. 536, North Jonathan, IL 05574"
e28b8b1e-8157-43f6-af57-ee78e6563e64,2024-06-20 09:27:11,7e77dffe-99bd-48d7-bcbb-b539b1ca655d,f3baebd0-b4a1-4d49-92d5-5ef049672dbc,2,394.27,788.54,Writer,Sports,Fitness,394.27,Jeffrey Morse,Lake Karenfurt,Mississippi,Belgium,20,Female,Net Banking,"05042 Stephens Spurs Suite 116, East Haleyland, ME 15913"
ee275cda-5972-45a8-89f0-eeb8f4e3115b,2023-02-25 04:05:42,03d01005-05ef-4bac-a439-5915bd5d72fc,ff4272b2-41fe-46de-a6aa-d588d477fe0e,5,475.83,2379.15,Program,Clothing,Men,475.83,Julia Anderson,Lake Tylertown,West Virginia,British Virgin Islands,52,Male,Net Banking,"9044 Osborne Curve, Jessicaborough, AL 13468"
93277c27-40c3-4cc4-b89a-26006139ea8a,2023-11-30 15:20:31,5e1b2917-8b7e-4086-b253-2d21a13e30bf,1714b303-3b8d-45bf-a0e9-ae0e2dc8b18a,4,84.19,336.76,Financial,Toys,Puzzles,84.19,George Roberson,South Daniel,South Dakota,Lesotho,50,Other,Net Banking,"9026 Stephanie Circles, Kevinmouth, AZ 50710"
e06eb832-8d9d-4603-bd83-da0d14f58d50,2024-01-09 04:01:35,198ff2fc-674b-4b31-ba74-280abf2afc44,4b029e08-34cc-447d-9b9d-b7a60b0141b9,4,85.44,341.76,Street,Sports,Indoor,85.44,Jerry Aguilar,South Toni,Mississippi,Indonesia,27,Other,Net Banking,"87428 Munoz Spring, Kochfurt, PA 68971"
580cfcb8-8ec8-4bd9-9b00-8f87de20a009,2021-09-17 19:39:43,a7b55013-47dc-4cd1-a176-d852a4a39839,9b798e01-71f5-4ca0-b057-78bc94b3cc48,4,328.18,1312.72,Candidate,Books,Non-Fiction,328.18,Douglas Cruz,North Tony,Montana,Madagascar,28,Other,Credit Card,"82731 Mary Keys Suite 621, Michelleshire, DC 76419"
f889a318-e531-4a7c-9357-e36a17b8ccf3,2021-02-17 22:34:13,7c1973e9-bb3c-4ab5-84be-18b76c797783,0b69ae6b-89e5-4bef-bc73-50ad55181f86,5,346.77,1733.85,Perhaps,Toys,Puzzles,346.77,Dennis Allen,East Julia,Montana,Cook Islands,37,Other,PayPal,"39234 Huber Stravenue Apt. 664, Lake Emily, OR 36144"
a90b2818-8060-4f19-899a-47b284cd6a3b,2021-02-20 18:57:40,e3082335-ef6f-48cf-9715-9b6e81331a9e,92812f00-198d-4d8d-b61c-bcbf2b4fc777,3,27.5,82.5,Board,Electronics,Mobile Phones,27.5,Lynn Olson,Port Williamview,Connecticut,Niger,63,Other,Debit Card,"499 Cooper Courts Suite 089, West Danielburgh, NV 02074"
037a8e24-a4fc-49c2-85eb-bff479af3668,2023-04-16 03:30:07,8de95523-a9af-4514-8ae7-2c060ad3f973,65cb1c9c-0041-4a9c-8a1d-aa596f9977c5,2,147.01,294.02,All,Books,Fiction,147.01,Jeffrey Alvarado,East Nicoleberg,Iowa,Sao Tome and Principe,45,Other,Debit Card,"07318 Antonio Branch Suite 051, West Alexanderbury, UT 31933"
80455932-bf71-4882-bcbf-220c9390cd2c,2024-04-27 20:06:15,4f3de318-5696-442a-a37e-816317b6f00c,80dc2f9a-7aab-43d3-a602-b4c249e7f77e,2,443.47,886.94,Become,Electronics,Mobile Phones,443.47,Brenda Fowler,Ianville,Colorado,Egypt,58,Male,Net Banking,"3060 Archer Fords, East Lisa, IN 07205"
f5eaf008-28fe-4c42-87d7-4231fb3bfcde,2024-02-28 11:05:12,e0b1bef2-4e6c-4940-b344-0a6caaff07d8,e2e3c44e-0034-4263-9717-13fcfddd0b6f,5,24.93,124.65,Kind,Home & Kitchen,Decor,24.93,John Nolan,Jenniferview,Alabama,Israel,28,Other,Net Banking,"1977 Parker Throughway, New Joshuaburgh, MI 70983"
ab281021-c390-46bb-ad98-d377228372e6,2023-03-05 12:13:38,4d576ed2-748d-4f43-a5c8-9d92695deea9,a1b7f074-ddef-4eb3-acae-202cf2d74bfc,5,275.01,1375.05,Career,Sports,Outdoor,275.01,Beth Anderson,Lake Justin,New Jersey,Zambia,45,Male,Credit Card,"Unit 6741 Box 6952, DPO AA 81486"
78701782-31eb-4b21-82a8-09a873e2ee4e,2021-06-27 09:55:57,d79c793a-8e15-462b-bc2f-9d6c9799913f,e44f2eb2-75fb-477f-b007-c7e08a00117d,5,125.39,626.95,Southern,Home & Kitchen,Decor,125.39,Stefanie Payne,Hudsonshire,New York,Montserrat,64,Female,Debit Card,"18137 Mays Pine, Patriciatown, DC 27243"
